property_id,title,property_type,location_name,city,state,price_inr,area_sqft,bedrooms,bathrooms,furnishing_status,latitude,longitude,listing_type
91,1 BHK Apartment in Adibatla,Apartment,Adibatla,Hyderabad,Telangana,3409000,552,1,1,Unfurnished,17.232022,78.539484,New Launch
92,3 BHK Apartment in Nallagandla,Apartment,Nallagandla,Hyderabad,Telangana,11533000,1804,3,2,Unfurnished,17.476964,78.310501,New Launch
93,2 BHK House in Miyapur,House,Miyapur,Hyderabad,Telangana,7958000,1153,2,2,Unfurnished,17.485653,78.352905,Sale
94,4 BHK House in HITEC City,House,HITEC City,Hyderabad,Telangana,84647000,4131,4,4,Unfurnished,17.449337,78.36856,New Launch
95,Plot in Narsingi,Plot,Narsingi,Hyderabad,Telangana,11332000,1709,0,0,NA,17.367394,78.363954,Resale
96,2 BHK Apartment in Shamshabad,Apartment,Shamshabad,Hyderabad,Telangana,6303000,934,2,1,Semi-Furnished,17.255842,78.424556,Sale
97,3 BHK Apartment in Kondapur,Apartment,Kondapur,Hyderabad,Telangana,9312000,1468,3,3,Semi-Furnished,17.451981,78.344655,New Launch
98,Plot in Tellapur,Plot,Tellapur,Hyderabad,Telangana,33986000,4671,0,0,NA,17.454436,78.29787,Resale
99,2 BHK Villa in Medchal,Villa,Medchal,Hyderabad,Telangana,6630000,1002,2,2,Unfurnished,17.61899,78.492723,New Launch
100,2 BHK Apartment in Patancheru,Apartment,Patancheru,Hyderabad,Telangana,7675000,1240,2,1,Furnished,17.520756,78.275918,New Launch
101,2 BHK Apartment in Manikonda,Apartment,Manikonda,Hyderabad,Telangana,9062000,1220,2,1,Unfurnished,17.397024,78.394041,Resale
102,Plot in Miyapur,Plot,Miyapur,Hyderabad,Telangana,32739000,4475,0,0,NA,17.490135,78.349871,Resale
103,3 BHK Apartment in Banjara Hills,Apartment,Banjara Hills,Hyderabad,Telangana,23190000,2123,3,3,Unfurnished,17.424334,78.437777,Resale
104,Plot in Kondapur,Plot,Kondapur,Hyderabad,Telangana,44045000,4560,0,0,NA,17.469782,78.366957,Sale
105,2 BHK Apartment in Kondapur,Apartment,Kondapur,Hyderabad,Telangana,9445000,934,2,2,Furnished,17.471473,78.355168,Resale
106,3 BHK Apartment in Medchal,Apartment,Medchal,Hyderabad,Telangana,10846000,2053,3,2,Unfurnished,17.630969,78.489303,Resale
107,3 BHK House in Kokapet,House,Kokapet,Hyderabad,Telangana,25902000,2070,3,3,Unfurnished,17.398432,78.332368,Resale
108,2 BHK Apartment in Jubilee Hills,Apartment,Jubilee Hills,Hyderabad,Telangana,19088000,1141,2,1,Furnished,17.438866,78.412518,Resale
109,3 BHK Apartment in Shadnagar,Apartment,Shadnagar,Hyderabad,Telangana,7581000,1502,3,2,Semi-Furnished,17.065485,78.2165,New Launch
110,4 BHK Villa in Maheshwaram,Villa,Maheshwaram,Hyderabad,Telangana,28689000,3895,4,5,Unfurnished,17.138866,78.426542,New Launch
111,3 BHK Apartment in Manikonda,Apartment,Manikonda,Hyderabad,Telangana,13731000,1458,3,3,Semi-Furnished,17.395281,78.390248,Sale
112,2 BHK House in HITEC City,House,HITEC City,Hyderabad,Telangana,11926000,955,2,2,Semi-Furnished,17.45068,78.383178,Resale
113,2 BHK Apartment in Miyapur,Apartment,Miyapur,Hyderabad,Telangana,8394000,1315,2,1,Unfurnished,17.497857,78.34958,Resale
114,2 BHK House in Narsingi,House,Narsingi,Hyderabad,Telangana,7210000,943,2,1,Semi-Furnished,17.392595,78.358156,Sale
115,1 BHK Apartment in Kukatpally,Apartment,Kukatpally,Hyderabad,Telangana,6479000,686,1,1,Furnished,17.478667,78.412509,New Launch
116,2 BHK Apartment in Gachibowli,Apartment,Gachibowli,Hyderabad,Telangana,21876000,1345,2,1,Semi-Furnished,17.445498,78.360562,New Launch
117,3 BHK Apartment in Kokapet,Apartment,Kokapet,Hyderabad,Telangana,32147000,1845,3,3,Semi-Furnished,17.390837,78.345479,Sale
118,2 BHK Apartment in Nallagandla,Apartment,Nallagandla,Hyderabad,Telangana,8872000,1031,2,1,Unfurnished,17.47313,78.311274,New Launch
119,3 BHK Apartment in Kukatpally,Apartment,Kukatpally,Hyderabad,Telangana,19222000,1863,3,2,Furnished,17.488255,78.39563,Resale
120,3 BHK Apartment in Miyapur,Apartment,Miyapur,Hyderabad,Telangana,21917000,2182,3,2,Semi-Furnished,17.486641,78.365812,Sale
121,2 BHK Apartment in Jubilee Hills,Apartment,Jubilee Hills,Hyderabad,Telangana,15207000,949,2,2,Semi-Furnished,17.438738,78.415719,New Launch
122,2 BHK House in Tukkuguda,House,Tukkuguda,Hyderabad,Telangana,5645000,988,2,1,Semi-Furnished,17.194975,78.474274,Resale
123,2 BHK House in Gachibowli,House,Gachibowli,Hyderabad,Telangana,18273000,1077,2,2,Semi-Furnished,17.429326,78.354715,Sale
124,3 BHK Apartment in Tellapur,Apartment,Tellapur,Hyderabad,Telangana,19964000,2173,3,2,Furnished,17.470422,78.285229,Sale
125,2 BHK House in HITEC City,House,HITEC City,Hyderabad,Telangana,15444000,1160,2,1,Furnished,17.436648,78.370158,Sale
126,3 BHK Apartment in Kukatpally,Apartment,Kukatpally,Hyderabad,Telangana,19395000,2177,3,2,Unfurnished,17.483539,78.420369,Sale
127,1 BHK Apartment in Financial District,Apartment,Financial District,Hyderabad,Telangana,13913000,898,1,1,Furnished,17.413094,78.334512,New Launch
128,2 BHK Apartment in Banjara Hills,Apartment,Banjara Hills,Hyderabad,Telangana,17450000,1301,2,1,Semi-Furnished,17.404215,78.425761,New Launch
129,1 BHK Apartment in Kukatpally,Apartment,Kukatpally,Hyderabad,Telangana,7240000,887,1,1,Semi-Furnished,17.47407,78.405412,New Launch
130,3 BHK Apartment in Narsingi,Apartment,Narsingi,Hyderabad,Telangana,12895000,1978,3,3,Unfurnished,17.370465,78.358044,New Launch
131,2 BHK Apartment in Medchal,Apartment,Medchal,Hyderabad,Telangana,4673000,1154,2,2,Unfurnished,17.620629,78.467738,New Launch
132,3 BHK Apartment in Tukkuguda,Apartment,Tukkuguda,Hyderabad,Telangana,5377000,1426,3,2,Furnished,17.200257,78.487994,New Launch
133,3 BHK Apartment in Nallagandla,Apartment,Nallagandla,Hyderabad,Telangana,14434000,1720,3,2,Furnished,17.466242,78.32287,Resale
134,2 BHK Apartment in Manikonda,Apartment,Manikonda,Hyderabad,Telangana,6043000,901,2,1,Semi-Furnished,17.392093,78.371614,Resale
135,3 BHK Apartment in Tellapur,Apartment,Tellapur,Hyderabad,Telangana,17123000,1788,3,2,Furnished,17.461809,78.289303,New Launch
136,2 BHK Apartment in Narsingi,Apartment,Narsingi,Hyderabad,Telangana,6495000,1066,2,1,Unfurnished,17.36976,78.349182,New Launch
137,3 BHK House in Nallagandla,House,Nallagandla,Hyderabad,Telangana,20781000,1751,3,2,Furnished,17.481887,78.318434,Sale
138,3 BHK House in Shamshabad,House,Shamshabad,Hyderabad,Telangana,5507000,1429,3,3,Unfurnished,17.261434,78.437308,Sale
139,3 BHK Apartment in Narsingi,Apartment,Narsingi,Hyderabad,Telangana,13891000,1957,3,2,Furnished,17.394898,78.360499,Sale
140,1 BHK Villa in Gachibowli,Villa,Gachibowli,Hyderabad,Telangana,14424000,689,1,1,Semi-Furnished,17.450581,78.346936,New Launch
141,2 BHK Apartment in Tellapur,Apartment,Tellapur,Hyderabad,Telangana,7560000,983,2,1,Semi-Furnished,17.457886,78.282903,New Launch
142,2 BHK Apartment in Shamshabad,Apartment,Shamshabad,Hyderabad,Telangana,4529000,1082,2,2,Furnished,17.253629,78.436112,New Launch
143,3 BHK Villa in Shadnagar,Villa,Shadnagar,Hyderabad,Telangana,14094000,1740,3,3,Unfurnished,17.061231,78.208225,Resale
144,Plot in Nallagandla,Plot,Nallagandla,Hyderabad,Telangana,11051000,1365,0,0,NA,17.480776,78.333074,Resale
145,3 BHK Apartment in Shamshabad,Apartment,Shamshabad,Hyderabad,Telangana,9048000,1665,3,2,Furnished,17.247172,78.420344,New Launch
146,3 BHK Apartment in Narsingi,Apartment,Narsingi,Hyderabad,Telangana,12985000,1948,3,2,Unfurnished,17.384425,78.352672,Resale
147,Plot in Jubilee Hills,Plot,Jubilee Hills,Hyderabad,Telangana,27715000,2261,0,0,NA,17.427745,78.396524,Resale
148,2 BHK Apartment in Kukatpally,Apartment,Kukatpally,Hyderabad,Telangana,10494000,1213,2,2,Semi-Furnished,17.486099,78.416183,New Launch
149,Plot in Manikonda,Plot,Manikonda,Hyderabad,Telangana,10721000,1330,0,0,NA,17.396249,78.371276,Sale
150,3 BHK Apartment in Patancheru,Apartment,Patancheru,Hyderabad,Telangana,9508000,1659,3,2,Unfurnished,17.524824,78.270824,Sale
151,2 BHK Apartment in Medchal,Apartment,Medchal,Hyderabad,Telangana,7291000,1187,2,1,Furnished,17.642816,78.487826,Resale
152,2 BHK Apartment in Kondapur,Apartment,Kondapur,Hyderabad,Telangana,8148000,1000,2,2,Semi-Furnished,17.457564,78.371886,Resale
153,3 BHK Apartment in Jubilee Hills,Apartment,Jubilee Hills,Hyderabad,Telangana,18449000,1599,3,3,Furnished,17.428221,78.411446,Resale
154,2 BHK Villa in Shamirpet,Villa,Shamirpet,Hyderabad,Telangana,5996000,1157,2,2,Furnished,17.593004,78.55947,Resale
155,2 BHK Apartment in Tellapur,Apartment,Tellapur,Hyderabad,Telangana,10065000,1086,2,2,Semi-Furnished,17.451017,78.295331,Sale
156,3 BHK House in Kukatpally,House,Kukatpally,Hyderabad,Telangana,17157000,1810,3,2,Semi-Furnished,17.472051,78.41179,New Launch
157,4 BHK Apartment in Kokapet,Apartment,Kokapet,Hyderabad,Telangana,48701000,3804,4,5,Semi-Furnished,17.404889,78.338364,Sale
158,4 BHK Apartment in Maheshwaram,Apartment,Maheshwaram,Hyderabad,Telangana,13979000,2556,4,4,Furnished,17.138824,78.433508,Sale
159,Plot in Tukkuguda,Plot,Tukkuguda,Hyderabad,Telangana,18859000,3406,0,0,NA,17.198448,78.470308,Sale
160,1 BHK Apartment in Banjara Hills,Apartment,Banjara Hills,Hyderabad,Telangana,12641000,753,1,1,Semi-Furnished,17.416352,78.427721,Sale
161,Plot in Adibatla,Plot,Adibatla,Hyderabad,Telangana,10258000,2551,0,0,NA,17.22721,78.527835,Resale
162,2 BHK Apartment in Tellapur,Apartment,Tellapur,Hyderabad,Telangana,7833000,1222,2,2,Unfurnished,17.464197,78.286394,Resale
163,4 BHK House in Shadnagar,House,Shadnagar,Hyderabad,Telangana,28604000,3966,4,4,Semi-Furnished,17.05678,78.207422,Sale
164,2 BHK Apartment in Financial District,Apartment,Financial District,Hyderabad,Telangana,10842000,928,2,1,Semi-Furnished,17.39952,78.350545,Resale
165,3 BHK Apartment in Miyapur,Apartment,Miyapur,Hyderabad,Telangana,15156000,1469,3,3,Semi-Furnished,17.501524,78.368969,Sale
166,Plot in Maheshwaram,Plot,Maheshwaram,Hyderabad,Telangana,7300000,1215,0,0,NA,17.137487,78.424251,New Launch
167,2 BHK Apartment in Shamshabad,Apartment,Shamshabad,Hyderabad,Telangana,8788000,1299,2,2,Furnished,17.245419,78.435472,Sale
168,3 BHK Apartment in Kokapet,Apartment,Kokapet,Hyderabad,Telangana,28332000,1808,3,3,Furnished,17.384612,78.345651,Sale
169,Plot in Kukatpally,Plot,Kukatpally,Hyderabad,Telangana,22509000,3438,0,0,NA,17.491645,78.410553,New Launch
170,3 BHK Apartment in Gachibowli,Apartment,Gachibowli,Hyderabad,Telangana,22245000,2141,3,2,Unfurnished,17.4386,78.341796,Sale
171,Plot in Patancheru,Plot,Patancheru,Hyderabad,Telangana,28437000,4925,0,0,NA,17.538617,78.270278,Resale
172,2 BHK House in Patancheru,House,Patancheru,Hyderabad,Telangana,9182000,1178,2,2,Semi-Furnished,17.536608,78.257346,Resale
173,2 BHK Apartment in Shamirpet,Apartment,Shamirpet,Hyderabad,Telangana,3346000,904,2,2,Unfurnished,17.593061,78.572989,Sale
174,1 BHK House in Patancheru,House,Patancheru,Hyderabad,Telangana,3266000,650,1,1,Semi-Furnished,17.529562,78.260317,Sale
175,1 BHK Apartment in Kukatpally,Apartment,Kukatpally,Hyderabad,Telangana,4423000,561,1,1,Unfurnished,17.472945,78.403614,New Launch
176,3 BHK Apartment in Narsingi,Apartment,Narsingi,Hyderabad,Telangana,12639000,1542,3,3,Semi-Furnished,17.385265,78.342828,New Launch
177,3 BHK Apartment in Tellapur,Apartment,Tellapur,Hyderabad,Telangana,15968000,2008,3,3,Unfurnished,17.4575,78.305668,Sale
178,Plot in Narsingi,Plot,Narsingi,Hyderabad,Telangana,30018000,4823,0,0,NA,17.392457,78.362799,Resale
179,Plot in Kukatpally,Plot,Kukatpally,Hyderabad,Telangana,29705000,4577,0,0,NA,17.472108,78.405492,Sale
180,3 BHK House in Kukatpally,House,Kukatpally,Hyderabad,Telangana,19562000,2167,3,2,Semi-Furnished,17.479106,78.405939,New Launch
181,3 BHK Apartment in Tellapur,Apartment,Tellapur,Hyderabad,Telangana,14934000,1780,3,3,Furnished,17.456263,78.299341,Sale
182,4 BHK Apartment in Financial District,Apartment,Financial District,Hyderabad,Telangana,53570000,3094,4,3,Furnished,17.405251,78.339115,Sale
183,2 BHK Apartment in Tellapur,Apartment,Tellapur,Hyderabad,Telangana,7803000,1033,2,2,Furnished,17.455183,78.29949,Sale
184,4 BHK Apartment in Shadnagar,Apartment,Shadnagar,Hyderabad,Telangana,15698000,2505,4,4,Furnished,17.063683,78.205176,Sale
185,3 BHK Apartment in Manikonda,Apartment,Manikonda,Hyderabad,Telangana,16859000,1847,3,3,Unfurnished,17.401631,78.390517,New Launch
186,2 BHK Apartment in Patancheru,Apartment,Patancheru,Hyderabad,Telangana,8394000,1180,2,2,Furnished,17.514198,78.272456,Resale
187,2 BHK Apartment in Nallagandla,Apartment,Nallagandla,Hyderabad,Telangana,9746000,1138,2,2,Semi-Furnished,17.457158,78.303714,New Launch
188,3 BHK Apartment in Nallagandla,Apartment,Nallagandla,Hyderabad,Telangana,14419000,1726,3,3,Semi-Furnished,17.46793,78.305071,New Launch
189,Plot in Kokapet,Plot,Kokapet,Hyderabad,Telangana,87731000,4890,0,0,NA,17.401538,78.343887,Sale
190,2 BHK Villa in Tellapur,Villa,Tellapur,Hyderabad,Telangana,10864000,1125,2,1,Unfurnished,17.464855,78.291886,Resale
191,3 BHK House in Nallagandla,House,Nallagandla,Hyderabad,Telangana,22682000,2149,3,2,Semi-Furnished,17.470135,78.323283,New Launch
192,2 BHK Apartment in HITEC City,Apartment,HITEC City,Hyderabad,Telangana,22125000,1190,2,2,Furnished,17.434293,78.385692,Sale
193,3 BHK House in HITEC City,House,HITEC City,Hyderabad,Telangana,30577000,1904,3,3,Furnished,17.429506,78.39022,Sale
194,3 BHK House in Medchal,House,Medchal,Hyderabad,Telangana,8897000,1893,3,2,Unfurnished,17.631687,78.49154,New Launch
